iso3,country,indicator,indicator_label,adopt_year,pre_year,post_year,last_year,q1_pre,q1_post,q1_last,q5_pre,q5_post,q5_last,gap_pre,gap_post,gap_last,q1_change_annual,q5_change_annual,control_percentile
BDI,Burundi,BC_BHF,Births in a health facility,2006,2005,2010,2017,19.2,50.0,76.2,52.1,79.3,94.8,32.900000000000006,29.299999999999997,18.599999999999994,6.16,5.4399999999999995,0.9803921568627451
BDI,Burundi,TECI_ORS,Diarrhoea: treated with ORS,2006,2005,2010,2017,28.3,35.4,33.9,41.6,41.8,37.9,13.3,6.399999999999999,4.0,1.4199999999999995,0.03999999999999915,0.7
BDI,Burundi,TECI_PNEUHCP,Pneumonia symptoms: taken to a provider,2006,2005,2010,2017,41.0,51.7,58.4,45.0,57.8,60.1,4.0,6.099999999999994,1.7000000000000028,2.1400000000000006,2.5599999999999996,0.8478260869565217
GHA,Ghana,BC_BHF,Births in a health facility,2008,2007,2011,2018,27.0,37.7,62.2,91.6,97.4,96.7,64.6,59.7,34.5,2.6750000000000007,1.4500000000000028,0.7450980392156863
GHA,Ghana,TECI_ORS,Diarrhoea: treated with ORS,2008,2006,2011,2018,18.1,44.3,44.7,48.5,27.0,57.0,30.4,-17.299999999999997,12.299999999999997,5.239999999999999,-4.3,0.95
KEN,Kenya,BC_BHF,Births in a health facility,2013,2009,2014,2014,18.0,30.1,30.1,80.9,92.7,92.7,62.900000000000006,62.6,62.6,2.4200000000000004,2.3599999999999994,0.7254901960784313
KEN,Kenya,TECI_ORS,Diarrhoea: treated with ORS,2013,2009,2014,2014,39.8,52.1,52.1,36.7,54.5,54.5,-3.0999999999999943,2.3999999999999986,2.3999999999999986,2.460000000000001,3.5599999999999996,0.8333333333333334
KEN,Kenya,TECI_PNEUHCP,Pneumonia symptoms: taken to a provider,2013,2009,2014,2014,56.5,62.6,62.6,62.6,73.5,73.5,6.100000000000001,10.899999999999999,10.899999999999999,1.2200000000000002,2.1799999999999997,0.7391304347826086
NER,Niger,TECI_ORS,Diarrhoea: treated with ORS,2006,2000,2012,2012,8.3,34.1,34.1,25.0,49.3,49.3,16.7,15.199999999999996,15.199999999999996,2.15,2.025,0.7833333333333333
NER,Niger,TECI_PNEUHCP,Pneumonia symptoms: taken to a provider,2006,2000,2012,2012,18.9,46.5,46.5,59.2,71.2,71.2,40.300000000000004,24.700000000000003,24.700000000000003,2.3000000000000003,1.0,0.8478260869565217
SLE,Sierra Leone,BC_BHF,Births in a health facility,2010,2008,2013,2019,16.9,48.4,78.6,39.3,70.1,91.5,22.4,21.699999999999996,12.900000000000006,6.3,6.159999999999999,0.9803921568627451
SLE,Sierra Leone,TECI_ORS,Diarrhoea: treated with ORS,2010,2005,2013,2019,43.4,86.8,87.1,75.0,88.0,78.3,31.6,1.2000000000000028,-8.799999999999997,5.425,1.625,0.95
SLE,Sierra Leone,TECI_PNEUHCP,Pneumonia symptoms: taken to a provider,2010,2008,2013,2019,39.0,67.7,83.8,46.0,75.1,81.9,7.0,7.3999999999999915,-1.8999999999999915,5.74,5.8199999999999985,0.9130434782608695
