dropped,estimate,se,ci_low,ci_high,pvalue
none,-0.061783315076869405,0.022782047888560742,-0.10808200680941031,-0.0154846233443285,0.010415745074333405
BDI,-0.05398327709885755,0.02291429362339679,-0.10060275800590415,-0.007363796191810941,0.024571759716491837
BFA,-0.06204790700597878,0.02298860242534082,-0.10881857030731565,-0.01527724370464191,0.010877354042442944
GHA,-0.06199322037686327,0.024221213550866063,-0.11127164986888749,-0.012714790884839046,0.01525188882053663
KEN,-0.07088706245318824,0.023206285831055815,-0.11810060597345313,-0.02367351893292334,0.004435472802690299
LBR,-0.06870233399289949,0.023374019859126346,-0.11625713495917668,-0.021147533026622298,0.00596596076529976
NER,-0.0684380829460535,0.023292884613548365,-0.11582781301403997,-0.02104835287806702,0.005982801586799313
SLE,-0.062162849028336756,0.024021509121309802,-0.11103497680346038,-0.013290721253213136,0.014250425034725067
UGA,-0.0533883039561704,0.023779964693533637,-0.10176900589796976,-0.005007602014371032,0.03158237437332567
ZMB,-0.05575043854096942,0.0235671097231922,-0.10369808378947101,-0.007802793292467837,0.024029162365383883
